truckid,latitude,longitude,city
A5,34.019454,-118.491191,Santa Monica
A39,39.017396,-122.057748,Arbuckle
A27,37.484938,-119.966284,Mariposa
A48,37.957702,-121.29078,Stockton
A8,39.409608,-123.355566,Willits
A5,38.297538,-122.286865,Napa
A31,38.440467,-122.714431,Santa Rosa
A94,36.471865,-6.196595,San Fernando
A24,38.297538,-122.286865,Napa
A73,35.373292,-119.018712,Bakersfield
A76,40.563763,-122.238892,Palo Cedro
A62,38.716687,-121.364422,Antelope
A57,38.799703,-121.720574,Knights Landing
A71,33.683947,-117.794694,Irvine
A94,36.471865,-6.196595,San Fernando
A44,38.440467,-122.714431,Santa Rosa
A8,37.968812,-121.668008,Knightsen
A28,38.297538,-122.286865,Napa
A3,38.019366,-122.134132,Martinez
A5,38.297538,-122.286865,Napa
A100,37.962146,-122.345526,San Pablo
A100,38.440467,-122.714431,Santa Rosa
A91,38.440467,-122.714431,Santa Rosa
A3,40.563763,-122.238892,Palo Cedro
A12,38.440467,-122.714431,Santa Rosa
A45,39.150171,-123.207783,Ukiah
A37,34.435829,-119.827639,Goleta
A59,37.957702,-121.29078,Stockton
A10,40.761243,-123.994778,Kneeland
A75,36.471865,-6.196595,San Fernando
A17,39.017396,-122.057748,Arbuckle
A98,33.683947,-117.794694,Irvine
A67,38.716687,-121.364422,Antelope
A97,34.579434,-118.116461,Palmdale
A44,37.957702,-121.29078,Stockton
A4,34.136119,-117.865339,Glendora
A13,38.752124,-121.288006,Roseville
A80,37.77493,-122.419416,San Francisco
A32,33.846404,-118.046731,La Palma
A63,32.811161,-115.380264,Holtville
A85,39.409608,-123.355566,Willits
A60,40.761243,-123.994778,Kneeland
A94,38.752124,-121.288006,Roseville
A63,37.957702,-121.29078,Stockton
A84,34.500831,-117.185876,Apple Valley
A1,36.977173,-121.899402,Aptos
A32,38.716687,-121.364422,Antelope
A5,34.579434,-118.116461,Palmdale
A4,37.77493,-122.419416,San Francisco
A91,33.846404,-118.046731,La Palma
A39,37.968812,-121.668008,Knightsen
A13,34.579434,-118.116461,Palmdale
A38,39.409608,-123.355566,Willits
A66,39.017396,-122.057748,Arbuckle
A16,38.716687,-121.364422,Antelope
A90,34.579434,-118.116461,Palmdale
A94,39.017396,-122.057748,Arbuckle
A89,36.977173,-121.899402,Aptos
A32,32.715329,-117.157255,San Diego
A43,38.440467,-122.714431,Santa Rosa
A88,36.471865,-6.196595,San Fernando
A17,38.752124,-121.288006,Roseville
A82,34.579434,-118.116461,Palmdale
A43,39.017396,-122.057748,Arbuckle
A7,38.799703,-121.720574,Knights Landing
A9,33.846404,-118.046731,La Palma
A55,32.715329,-117.157255,San Diego
A22,34.500831,-117.185876,Apple Valley
A56,32.61768,-116.187424,Jacumba
A100,39.409608,-123.355566,Willits
A39,38.716687,-121.364422,Antelope
A26,33.663357,-116.310009,La Quinta
A40,38.130197,-121.272447,Lodi
A11,34.500831,-117.185876,Apple Valley
A6,34.106676,-117.806726,San Dimas
A32,38.297538,-122.286865,Napa
A60,40.761243,-123.994778,Kneeland
A39,37.962146,-122.345526,San Pablo
A8,39.409608,-123.355566,Willits
A89,37.639097,-120.996878,Modesto
A36,34.579434,-118.116461,Palmdale
A25,33.683947,-117.794694,Irvine
A98,34.106676,-117.806726,San Dimas
A9,38.297538,-122.286865,Napa
A53,39.409608,-123.355566,Willits
A73,39.230151,-121.136075,Rough and Ready
A4,34.136119,-117.865339,Glendora
A96,35.373292,-119.018712,Bakersfield
A37,34.500831,-117.185876,Apple Valley
A60,37.957702,-121.29078,Stockton
A43,39.017396,-122.057748,Arbuckle
A24,34.579434,-118.116461,Palmdale
A73,39.230151,-121.136075,Rough and Ready
A39,38.440467,-122.714431,Santa Rosa
A11,36.471865,-6.196595,San Fernando
A18,39.409608,-123.355566,Willits
A93,36.852455,-121.401602,Hollister
A5,34.579434,-118.116461,Palmdale
A55,38.440467,-122.714431,Santa Rosa
A41,34.500831,-117.185876,Apple Valley
A89,37.968812,-121.668008,Knightsen
A71,37.957702,-121.29078,Stockton
A72,38.440467,-122.714431,Santa Rosa
A60,34.435829,-119.827639,Goleta
A88,40.563763,-122.238892,Palo Cedro
A33,37.941325,-122.484704,San Quentin
A31,37.968812,-121.668008,Knightsen
A57,34.500831,-117.185876,Apple Valley
A8,34.136119,-117.865339,Glendora
A43,39.017396,-122.057748,Arbuckle
A99,34.44805,-119.242889,Ojai
A6,37.441883,-122.143019,Palo Alto
A100,39.409608,-123.355566,Willits
A92,38.799703,-121.720574,Knights Landing
A48,37.957702,-121.29078,Stockton
A4,34.953034,-120.435719,Santa Maria
A72,39.150171,-123.207783,Ukiah
A57,38.019366,-122.134132,Martinez
A3,39.150171,-123.207783,Ukiah
A65,38.440467,-122.714431,Santa Rosa
A16,39.017396,-122.057748,Arbuckle
A69,36.977173,-121.899402,Aptos
A40,32.811161,-115.380264,Holtville
A45,37.957702,-121.29078,Stockton
A29,33.19587,-117.379483,Oceanside
A17,37.957702,-121.29078,Stockton
A56,37.441883,-122.143019,Palo Alto
A14,34.500831,-117.185876,Apple Valley
A6,38.36408,-122.524149,Glen Ellen
A76,39.409608,-123.355566,Willits
A69,39.409608,-123.355566,Willits
A31,37.962146,-122.345526,San Pablo
A4,38.40765,-122.947713,Occidental
A8,34.136119,-117.865339,Glendora
A14,34.354166,-119.059271,Santa Paula
A48,36.471865,-6.196595,San Fernando
A10,40.761243,-123.994778,Kneeland
A32,34.579434,-118.116461,Palmdale
A36,38.130197,-121.272447,Lodi
A78,38.716687,-121.364422,Antelope
A32,41.526509,-124.038407,Klamath
A57,38.440467,-122.714431,Santa Rosa
A92,34.500831,-117.185876,Apple Valley
A78,37.639097,-120.996878,Modesto
A56,37.441883,-122.143019,Palo Alto
A20,36.852455,-121.401602,Hollister
A13,38.130197,-121.272447,Lodi
A7,38.440467,-122.714431,Santa Rosa
A32,38.130197,-121.272447,Lodi
A89,37.639097,-120.996878,Modesto
A70,39.017396,-122.057748,Arbuckle
A53,39.150171,-123.207783,Ukiah
A29,37.441883,-122.143019,Palo Alto
A51,38.130197,-121.272447,Lodi
A13,38.130197,-121.272447,Lodi
A49,33.743076,-117.109197,Homeland
A69,35.373292,-119.018712,Bakersfield
A10,34.354166,-119.059271,Santa Paula
A51,38.716687,-121.364422,Antelope
A56,38.36408,-122.524149,Glen Ellen
A71,38.440467,-122.714431,Santa Rosa
A56,34.435829,-119.827639,Goleta
A6,37.441883,-122.143019,Palo Alto
A36,34.579434,-118.116461,Palmdale
A46,32.715329,-117.157255,San Diego
A80,36.471865,-6.196595,San Fernando
A49,33.743076,-117.109197,Homeland
A31,39.145725,-121.591355,Marysville
A99,34.44805,-119.242889,Ojai
A33,37.441883,-122.143019,Palo Alto
A79,37.957702,-121.29078,Stockton
A56,34.435829,-119.827639,Goleta
A82,34.579434,-118.116461,Palmdale
A87,40.761243,-123.994778,Kneeland
A100,38.40765,-122.947713,Occidental
A39,37.968812,-121.668008,Knightsen
A46,36.746842,-119.772587,Fresno
A38,38.440467,-122.714431,Santa Rosa
A30,36.471865,-6.196595,San Fernando
A66,34.106676,-117.806726,San Dimas
A57,38.440467,-122.714431,Santa Rosa
A38,36.977173,-121.899402,Aptos
A55,37.639097,-120.996878,Modesto
A65,38.440467,-122.714431,Santa Rosa
A21,38.440467,-122.714431,Santa Rosa
A69,38.440467,-122.714431,Santa Rosa
A51,38.297538,-122.286865,Napa
A10,37.941325,-122.484704,San Quentin
A84,39.409608,-123.355566,Willits
A44,38.36408,-122.524149,Glen Ellen
A24,39.017396,-122.057748,Arbuckle
A48,32.811161,-115.380264,Holtville
A7,38.440467,-122.714431,Santa Rosa
A85,38.716687,-121.364422,Antelope
A52,36.471865,-6.196595,San Fernando
A77,37.962146,-122.345526,San Pablo
A9,32.715329,-117.157255,San Diego
A45,38.161861,-121.611621,Isleton
A68,38.440467,-122.714431,Santa Rosa
A94,38.130197,-121.272447,Lodi
A76,38.440467,-122.714431,Santa Rosa
A39,38.716687,-121.364422,Antelope
A99,33.846404,-118.046731,La Palma
A61,38.799703,-121.720574,Knights Landing
A7,40.563763,-122.238892,Palo Cedro
A29,33.19587,-117.379483,Oceanside
A39,38.440467,-122.714431,Santa Rosa
A74,36.852455,-121.401602,Hollister
A45,33.846404,-118.046731,La Palma
A47,36.852455,-121.401602,Hollister
A82,37.639097,-120.996878,Modesto
A21,38.805462,-123.017223,Cloverdale
A59,38.297538,-122.286865,Napa
A38,38.799703,-121.720574,Knights Landing
A23,32.715329,-117.157255,San Diego
A11,38.799703,-121.720574,Knights Landing
A20,35.098865,-120.612393,Oceano
A74,34.579434,-118.116461,Palmdale
A72,34.500831,-117.185876,Apple Valley
A58,34.953034,-120.435719,Santa Maria
A36,39.409608,-123.355566,Willits
A51,38.716687,-121.364422,Antelope
A8,34.136119,-117.865339,Glendora
A2,33.19587,-117.379483,Oceanside
A4,34.136119,-117.865339,Glendora
A3,34.44805,-119.242889,Ojai
A13,34.579434,-118.116461,Palmdale
A77,38.440467,-122.714431,Santa Rosa
A60,38.161861,-121.611621,Isleton
A32,37.639097,-120.996878,Modesto
A62,37.968812,-121.668008,Knightsen
A95,37.941325,-122.484704,San Quentin
A55,38.716687,-121.364422,Antelope
A31,38.716687,-121.364422,Antelope
A41,39.409608,-123.355566,Willits
A29,37.441883,-122.143019,Palo Alto
A40,37.957702,-121.29078,Stockton
A84,36.471865,-6.196595,San Fernando
A10,40.761243,-123.994778,Kneeland
A75,33.19587,-117.379483,Oceanside
A59,32.715329,-117.157255,San Diego
A49,33.846404,-118.046731,La Palma
A97,39.409608,-123.355566,Willits
A47,37.639097,-120.996878,Modesto
A26,38.440467,-122.714431,Santa Rosa
A61,39.409608,-123.355566,Willits
A12,39.017396,-122.057748,Arbuckle
A11,38.440467,-122.714431,Santa Rosa
A33,38.36408,-122.524149,Glen Ellen
A90,38.440467,-122.714431,Santa Rosa
A96,35.373292,-119.018712,Bakersfield
A54,39.230151,-121.136075,Rough and Ready
A35,37.968812,-121.668008,Knightsen
A37,34.354166,-119.059271,Santa Paula
A91,39.409608,-123.355566,Willits
A64,37.957702,-121.29078,Stockton
A32,38.716687,-121.364422,Antelope
A2,33.19587,-117.379483,Oceanside
A64,37.941325,-122.484704,San Quentin
A87,38.161861,-121.611621,Isleton
A6,34.106676,-117.806726,San Dimas
A91,40.761243,-123.994778,Kneeland
A14,34.500831,-117.185876,Apple Valley
A90,38.716687,-121.364422,Antelope
A40,39.017396,-122.057748,Arbuckle
A90,34.019454,-118.491191,Santa Monica
A91,38.440467,-122.714431,Santa Rosa
A94,33.683947,-117.794694,Irvine
A84,34.500831,-117.185876,Apple Valley
A89,38.440467,-122.714431,Santa Rosa
A83,37.941325,-122.484704,San Quentin
A34,33.663357,-116.310009,La Quinta
A95,39.409608,-123.355566,Willits
A44,32.61768,-116.187424,Jacumba
A44,38.752124,-121.288006,Roseville
A10,38.161861,-121.611621,Isleton
A33,37.941325,-122.484704,San Quentin
A14,38.161861,-121.611621,Isleton
A15,36.977173,-121.899402,Aptos
A93,38.716687,-121.364422,Antelope
A5,38.716687,-121.364422,Antelope
A67,32.61768,-116.187424,Jacumba
A79,38.805462,-123.017223,Cloverdale
A43,38.440467,-122.714431,Santa Rosa
A69,38.440467,-122.714431,Santa Rosa
A75,32.61768,-116.187424,Jacumba
A99,37.957702,-121.29078,Stockton
A86,34.019454,-118.491191,Santa Monica
A29,38.36408,-122.524149,Glen Ellen
A67,34.019454,-118.491191,Santa Monica
A96,37.484938,-119.966284,Mariposa
A31,38.440467,-122.714431,Santa Rosa
A55,37.957702,-121.29078,Stockton
A24,38.440467,-122.714431,Santa Rosa
A74,38.130197,-121.272447,Lodi
A28,32.715329,-117.157255,San Diego
A44,39.017396,-122.057748,Arbuckle
A67,33.683947,-117.794694,Irvine
A68,38.161861,-121.611621,Isleton
A39,34.953034,-120.435719,Santa Maria
A67,39.017396,-122.057748,Arbuckle
A44,32.61768,-116.187424,Jacumba
A20,36.977173,-121.899402,Aptos
A15,39.230151,-121.136075,Rough and Ready
A25,33.19587,-117.379483,Oceanside
A52,33.683947,-117.794694,Irvine
A5,32.715329,-117.157255,San Diego
A41,38.440467,-122.714431,Santa Rosa
A80,34.44805,-119.242889,Ojai
A61,38.799703,-121.720574,Knights Landing
A28,38.693723,-119.779683,Markleeville
A35,34.136119,-117.865339,Glendora
A91,38.161861,-121.611621,Isleton
A84,40.563763,-122.238892,Palo Cedro
A28,38.297538,-122.286865,Napa
A74,36.852455,-121.401602,Hollister
A26,34.44805,-119.242889,Ojai
A16,39.017396,-122.057748,Arbuckle
A36,34.579434,-118.116461,Palmdale
A26,33.743076,-117.109197,Homeland
A89,38.440467,-122.714431,Santa Rosa
A67,37.957702,-121.29078,Stockton
A15,36.977173,-121.899402,Aptos
A57,38.019366,-122.134132,Martinez
A58,34.136119,-117.865339,Glendora
A13,38.752124,-121.288006,Roseville
A61,39.409608,-123.355566,Willits
A64,38.440467,-122.714431,Santa Rosa
A83,37.941325,-122.484704,San Quentin
A55,37.639097,-120.996878,Modesto
A34,40.563763,-122.238892,Palo Cedro
A43,36.977173,-121.899402,Aptos
A99,38.161861,-121.611621,Isleton
A45,38.161861,-121.611621,Isleton
A2,37.441883,-122.143019,Palo Alto
A83,38.805462,-123.017223,Cloverdale
A17,38.130197,-121.272447,Lodi
A79,37.941325,-122.484704,San Quentin
A77,36.746842,-119.772587,Fresno
A63,38.716687,-121.364422,Antelope
A80,38.440467,-122.714431,Santa Rosa
A30,40.58654,-122.391675,Redding
A85,37.968812,-121.668008,Knightsen
A82,37.639097,-120.996878,Modesto
A83,37.941325,-122.484704,San Quentin
A98,38.805462,-123.017223,Cloverdale
A98,38.805462,-123.017223,Cloverdale
A81,35.373292,-119.018712,Bakersfield
A25,38.805462,-123.017223,Cloverdale
A86,37.957702,-121.29078,Stockton
A19,36.977173,-121.899402,Aptos
A25,38.36408,-122.524149,Glen Ellen
A42,38.799703,-121.720574,Knights Landing
A58,39.409608,-123.355566,Willits
A19,35.373292,-119.018712,Bakersfield
A38,40.563763,-122.238892,Palo Cedro
A48,36.471865,-6.196595,San Fernando
A72,38.019366,-122.134132,Martinez
A57,38.161861,-121.611621,Isleton
A65,40.563763,-122.238892,Palo Cedro
A64,37.957702,-121.29078,Stockton
A94,39.409608,-123.355566,Willits
A62,39.017396,-122.057748,Arbuckle
A1,35.098865,-120.612393,Oceano
A8,37.962146,-122.345526,San Pablo
A67,36.471865,-6.196595,San Fernando
A50,34.136119,-117.865339,Glendora
A24,38.693723,-119.779683,Markleeville
A57,33.663357,-116.310009,La Quinta
A40,33.683947,-117.794694,Irvine
A64,34.020011,-117.949508,La Puente
A20,38.440467,-122.714431,Santa Rosa
A99,38.019366,-122.134132,Martinez
A13,37.957702,-121.29078,Stockton
A57,38.440467,-122.714431,Santa Rosa
A52,37.941325,-122.484704,San Quentin
A51,35.098865,-120.612393,Oceano
A38,38.440467,-122.714431,Santa Rosa
A27,34.136119,-117.865339,Glendora
A13,33.846404,-118.046731,La Palma
A74,32.715329,-117.157255,San Diego
A73,38.40765,-122.947713,Occidental
A71,38.752124,-121.288006,Roseville
A49,38.440467,-122.714431,Santa Rosa
A68,38.440467,-122.714431,Santa Rosa
A91,37.441883,-122.143019,Palo Alto
A17,38.440467,-122.714431,Santa Rosa
A63,32.61768,-116.187424,Jacumba
A94,38.716687,-121.364422,Antelope
A78,38.130197,-121.272447,Lodi
A79,34.435829,-119.827639,Goleta
A81,37.77493,-122.419416,San Francisco
A36,33.846404,-118.046731,La Palma
A26,38.440467,-122.714431,Santa Rosa
A83,37.441883,-122.143019,Palo Alto
A20,34.106676,-117.806726,San Dimas
A70,34.106676,-117.806726,San Dimas
A30,38.161861,-121.611621,Isleton
A89,37.639097,-120.996878,Modesto
A64,40.761243,-123.994778,Kneeland
A10,34.435829,-119.827639,Goleta
A44,38.440467,-122.714431,Santa Rosa
A23,39.145725,-121.591355,Marysville
A2,34.106676,-117.806726,San Dimas
A13,33.846404,-118.046731,La Palma
A95,38.440467,-122.714431,Santa Rosa
A44,32.811161,-115.380264,Holtville
A43,36.852455,-121.401602,Hollister
A22,39.409608,-123.355566,Willits
A39,38.440467,-122.714431,Santa Rosa
A86,33.846404,-118.046731,La Palma
A3,38.019366,-122.134132,Martinez
A68,34.500831,-117.185876,Apple Valley
A22,33.743076,-117.109197,Homeland
A35,34.953034,-120.435719,Santa Maria
A72,38.161861,-121.611621,Isleton
A46,32.715329,-117.157255,San Diego
A68,37.957702,-121.29078,Stockton
A41,40.761243,-123.994778,Kneeland
A50,32.715329,-117.157255,San Diego
A5,38.693723,-119.779683,Markleeville
A98,37.441883,-122.143019,Palo Alto
A9,39.409608,-123.355566,Willits
A97,34.106676,-117.806726,San Dimas
A87,34.354166,-119.059271,Santa Paula
A60,34.106676,-117.806726,San Dimas
A64,33.846404,-118.046731,La Palma
A30,36.977173,-121.899402,Aptos
A42,39.409608,-123.355566,Willits
A55,38.297538,-122.286865,Napa
A60,38.161861,-121.611621,Isleton
A11,34.500831,-117.185876,Apple Valley
A45,38.161861,-121.611621,Isleton
A31,39.230151,-121.136075,Rough and Ready
A21,36.471865,-6.196595,San Fernando
A42,36.977173,-121.899402,Aptos
A20,37.639097,-120.996878,Modesto
A21,33.19587,-117.379483,Oceanside
A36,38.297538,-122.286865,Napa
A72,34.500831,-117.185876,Apple Valley
A86,38.716687,-121.364422,Antelope
A65,38.440467,-122.714431,Santa Rosa
A96,32.715329,-117.157255,San Diego
A48,32.61768,-116.187424,Jacumba
A63,34.019454,-118.491191,Santa Monica
A9,38.130197,-121.272447,Lodi
A30,38.440467,-122.714431,Santa Rosa
A63,33.846404,-118.046731,La Palma
A17,39.409608,-123.355566,Willits
A89,36.977173,-121.899402,Aptos
A28,37.639097,-120.996878,Modesto
A64,34.020011,-117.949508,La Puente
A88,40.563763,-122.238892,Palo Cedro
A33,32.61768,-116.187424,Jacumba
A98,39.017396,-122.057748,Arbuckle
A33,34.435829,-119.827639,Goleta
A80,39.409608,-123.355566,Willits
A47,38.693723,-119.779683,Markleeville
A44,33.19587,-117.379483,Oceanside
A58,34.953034,-120.435719,Santa Maria
A100,36.977173,-121.899402,Aptos
A72,33.743076,-117.109197,Homeland
A42,38.440467,-122.714431,Santa Rosa
A23,39.409608,-123.355566,Willits
A80,36.471865,-6.196595,San Fernando
A71,32.61768,-116.187424,Jacumba
A65,39.409608,-123.355566,Willits
A64,37.77493,-122.419416,San Francisco
A66,38.440467,-122.714431,Santa Rosa
A93,38.440467,-122.714431,Santa Rosa
A34,33.663357,-116.310009,La Quinta
A47,39.017396,-122.057748,Arbuckle
A39,37.968812,-121.668008,Knightsen
A25,38.752124,-121.288006,Roseville
A89,37.639097,-120.996878,Modesto
A61,33.663357,-116.310009,La Quinta
A43,38.716687,-121.364422,Antelope
A86,38.716687,-121.364422,Antelope
A8,37.962146,-122.345526,San Pablo
A9,33.846404,-118.046731,La Palma
A16,37.968812,-121.668008,Knightsen
A25,33.19587,-117.379483,Oceanside
A54,34.953034,-120.435719,Santa Maria
A54,37.962146,-122.345526,San Pablo
A67,37.957702,-121.29078,Stockton
A5,34.019454,-118.491191,Santa Monica
A53,40.563763,-122.238892,Palo Cedro
A37,37.441883,-122.143019,Palo Alto
A94,38.440467,-122.714431,Santa Rosa
A48,39.017396,-122.057748,Arbuckle
A33,34.435829,-119.827639,Goleta
A39,39.409608,-123.355566,Willits
A34,38.440467,-122.714431,Santa Rosa
A71,32.61768,-116.187424,Jacumba
A85,38.440467,-122.714431,Santa Rosa
A15,40.563763,-122.238892,Palo Cedro
A62,38.440467,-122.714431,Santa Rosa
A89,37.77493,-122.419416,San Francisco
A7,40.563763,-122.238892,Palo Cedro
A28,38.693723,-119.779683,Markleeville
A53,34.500831,-117.185876,Apple Valley
A92,38.440467,-122.714431,Santa Rosa
A21,32.61768,-116.187424,Jacumba
A62,37.962146,-122.345526,San Pablo
A53,38.440467,-122.714431,Santa Rosa
A55,34.019454,-118.491191,Santa Monica
A21,39.017396,-122.057748,Arbuckle
A33,34.500831,-117.185876,Apple Valley
A1,37.005782,-121.568275,Gilroy
A93,34.106676,-117.806726,San Dimas
A80,38.161861,-121.611621,Isleton
A27,38.440467,-122.714431,Santa Rosa
A74,37.005782,-121.568275,Gilroy
A47,37.639097,-120.996878,Modesto
A83,37.941325,-122.484704,San Quentin
A51,38.716687,-121.364422,Antelope
A28,38.693723,-119.779683,Markleeville
A29,38.805462,-123.017223,Cloverdale
A38,40.563763,-122.238892,Palo Cedro
A11,40.563763,-122.238892,Palo Cedro
A28,38.716687,-121.364422,Antelope
A93,38.440467,-122.714431,Santa Rosa
